order_id,customer_id,product_id,order_date,quantity,total_amount
O00001,C00710,P0159,2023-03-22,3,2022.87
O00002,C00954,P0036,2023-06-30,2,3560.74
O00003,C01578,P0427,2023-11-06,3,5903.52
O00004,C00962,P0332,2024-02-27,3,4107.99
O00005,C00156,P0038,2024-10-13,5,5784.95
O00006,C00521,P0174,2023-05-17,5,407.75
O00007,C00982,P0352,2024-01-18,4,4907.64
O00008,C00976,P0172,2023-01-10,4,7037.88
O00009,C01001,P0238,2023-04-20,3,4076.97
O00010,C00702,P0258,2023-07-07,4,5695.64
O00011,C01447,P0068,2023-03-02,1,1633.64
O00012,C01167,P0085,2024-05-02,4,7452.32
O00013,C00505,P0158,2024-08-05,1,1286.8
O00014,C01972,P0348,2023-04-10,1,958.75
O00015,C01571,P0132,2023-09-12,2,2388.44
O00016,C00830,P0079,2024-08-07,5,3902.25
O00017,C00577,P0381,2024-09-25,1,1203.96
O00018,C00522,P0430,2023-02-17,5,6931.6
O00019,C01291,P0434,2024-12-14,1,1689.45
O00020,C01835,P0027,2024-03-05,5,4699.5
O00021,C01938,P0329,2024-05-09,5,6476.85
O00022,C01590,P0203,2024-10-08,3,3049.71
O00023,C00282,P0339,2024-12-09,4,5286.68
O00024,C01528,P0439,2023-06-03,5,5871.95
O00025,C01334,P0328,2024-05-13,2,3856.76
O00026,C00801,P0001,2023-02-28,5,9342.7
O00027,C00751,P0345,2024-02-25,4,5467.08
O00028,C00804,P0258,2023-06-04,4,5695.64
O00029,C00863,P0359,2023-10-13,5,3304.2
O00030,C01889,P0227,2023-11-19,5,2245.55
O00031,C00095,P0293,2023-05-11,3,323.04
O00032,C01055,P0119,2024-08-29,3,181.26
O00033,C00041,P0049,2024-10-09,3,2459.31
O00034,C01703,P0024,2023-08-07,1,1422.07
O00035,C00992,P0208,2023-02-22,2,1508.78
O00036,C01572,P0432,2024-01-23,5,6435.4
O00037,C01599,P0335,2024-07-08,1,1352.39
O00038,C01653,P0352,2023-08-01,3,3680.73
O00039,C00268,P0235,2024-10-02,1,1297.8
O00040,C01826,P0159,2023-02-22,3,2022.87
O00041,C01300,P0122,2024-07-25,3,1617.48
O00042,C00991,P0271,2023-05-27,2,2725.48
O00043,C00327,P0112,2023-07-08,4,6318.92
O00044,C01667,P0411,2024-02-29,1,873.95
O00045,C01270,P0301,2024-10-02,3,3016.41
O00046,C01361,P0436,2023-09-14,3,5344.35
O00047,C00888,P0385,2023-10-18,1,1924.73
O00048,C00923,P0284,2023-01-30,4,1409.04
O00049,C00298,P0387,2024-11-11,4,6593.72
O00050,C01220,P0283,2024-05-20,1,474.49
O00051,C01116,P0185,2024-12-22,1,1595.17
O00052,C00918,P0009,2024-11-27,2,2494.3
O00053,C01993,P0291,2023-06-16,1,890.9
O00054,C00651,P0500,2023-11-19,5,1612.0
O00055,C01681,P0500,2024-10-23,5,1612.0
O00056,C01630,P0029,2023-08-20,5,5327.45
O00057,C01849,P0321,2023-01-10,2,3262.52
O00058,C00378,P0259,2023-04-23,1,1484.64
O00059,C01142,P0328,2024-08-15,4,7713.52
O00060,C00979,P0111,2023-07-01,2,2276.9
O00061,C00326,P0435,2023-04-10,1,1902.58
O00062,C00386,P0216,2023-06-04,3,4578.09
O00063,C01831,P0348,2023-12-14,1,958.75
