product_id,product_name,category,brand,price
P0001,Clearly Its,Beauty,Nike,1868.54
P0002,Production Clear,Beauty,Apple,587.13
P0003,Culture Coach,Home,Revlon,1599.24
P0004,Movement Part,Sports,LG,651.71
P0005,Fact Name,Clothing,Samsung,1861.78
P0006,Usually Stop,Toys,Adidas,936.36
P0007,Reveal Current,Sports,Adidas,1954.02
P0008,Force Language,Beauty,Puma,1251.26
P0009,Stage Leg,Clothing,Samsung,1247.15
P0010,Leader Then,Sports,Sony,975.53
P0011,Term Rest,Electronics,Adidas,1475.31
P0012,Theory Wrong,Electronics,Apple,624.61
P0013,Democrat Book,Sports,Puma,384.99
P0014,Follow Brother,Clothing,Dell,32.2
P0015,Pattern Story,Beauty,LG,1459.2
P0016,Policy Nor,Clothing,Samsung,1594.08
P0017,After Project,Beauty,Revlon,1289.06
P0018,Technology Chance,Beauty,Puma,1329.53
P0019,Oil Station,Electronics,Samsung,230.56
P0020,Happen Truth,Beauty,Nike,1603.5
P0021,Middle Everyone,Sports,Nike,361.89
P0022,Purpose Why,Beauty,Puma,73.82
P0023,Decade Message,Clothing,Adidas,1561.78
P0024,Really Phone,Home,Samsung,1422.07
P0025,Until And,Beauty,Nike,488.67
P0026,Huge Find,Toys,Puma,1316.41
P0027,Local Open,Toys,Adidas,939.9
P0028,Its Both,Beauty,Puma,1682.91
P0029,Everything Open,Clothing,Nike,1065.49
P0030,Hold Staff,Toys,Lenovo,1162.38
P0031,Part Oil,Clothing,LG,774.18
P0032,Relationship Live,Electronics,Dell,1445.21
P0033,Perform Such,Clothing,Lenovo,61.91
P0034,Even Writer,Toys,Samsung,1843.84
P0035,Something Increase,Toys,Revlon,579.76
P0036,Success Always,Home,Dell,1780.37
P0037,Personal Over,Sports,Puma,105.28
P0038,Edge Keep,Toys,Revlon,1156.99
P0039,Before Do,Toys,Revlon,1279.12
P0040,Answer Require,Toys,Dell,1822.39
P0041,Conference Article,Sports,Dell,459.55
P0042,Heavy Writer,Beauty,Adidas,1215.78
P0043,Radio Thousand,Electronics,Revlon,914.61
